,prospectid,total_tl,tot_closed_tl,tot_active_tl,total_tl_opened_l6m,tot_tl_closed_l6m,pct_tl_open_l6m,pct_tl_closed_l6m,pct_active_tl,pct_closed_tl,total_tl_opened_l12m,tot_tl_closed_l12m,pct_tl_open_l12m,pct_tl_closed_l12m,tot_missed_pmnt,auto_tl,cc_tl,consumer_tl,gold_tl,home_tl,pl_tl,secured_tl,unsecured_tl,other_tl,age_oldest_tl,age_newest_tl,time_since_recent_payment,time_since_first_deliquency,time_since_recent_deliquency,num_times_delinquent,max_delinquency_level,max_recent_level_of_deliq,num_deliq_6mts,num_deliq_12mts,num_deliq_6_12mts,max_deliq_6mts,max_deliq_12mts,num_times_30p_dpd,num_times_60p_dpd,num_std,num_std_6mts,num_std_12mts,num_sub,num_sub_6mts,num_sub_12mts,num_dbt,num_dbt_6mts,num_dbt_12mts,num_lss,num_lss_6mts,num_lss_12mts,recent_level_of_deliq,tot_enq,cc_enq,cc_enq_l6m,cc_enq_l12m,pl_enq,pl_enq_l6m,pl_enq_l12m,time_since_recent_enq,enq_l12m,enq_l6m,enq_l3m,maritalstatus,education,age,gender,netmonthlyincome,time_with_curr_empr,pct_of_active_tls_ever,pct_opened_tls_l6m_of_l12m,pct_currentbal_all_tl,cc_utilization,cc_flag,pl_utilization,pl_flag,pct_pl_enq_l6m_of_l12m,pct_cc_enq_l6m_of_l12m,pct_pl_enq_l6m_of_ever,pct_cc_enq_l6m_of_ever,max_unsec_exposure_inpct,hl_flag,gl_flag,last_prod_enq2,first_prod_enq2,credit_score,approved_flag
31,32,4,1,3,2,0,0.5,0.0,0.75,0.25,3,0,0.75,0.0,0,2,0,2,0,0,0,2,2,0,47.0,2.0,34.0,,,0,,0,0,0,0,0.0,0.0,0,0,9,4,6,0,0,0,0,0,0,0,0,0,0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,11.0,10.0,Married,SSC,52,M,21000,182,0.75,0.667,0.764,,0,,0,0.0,0.0,0.0,0.0,1.657,0,0,ConsumerLoan,others,638,P4
32,33,5,2,3,2,1,0.4,0.2,0.6,0.4,4,1,0.8,0.2,2,0,0,5,0,0,0,0,5,0,20.0,3.0,75.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,4.0,1.0,0.0,Married,12TH,41,M,18000,217,0.6,0.5,0.635,,0,,0,0.0,0.0,0.0,0.0,1.86,0,0,HL,ConsumerLoan,689,P2
33,34,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,4.0,4.0,76.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,3.0,2.0,Single,GRADUATE,25,M,15000,63,1.0,1.0,0.6,,0,,0,0.0,0.0,0.0,0.0,1.2,0,0,ConsumerLoan,others,663,P3
34,35,2,0,2,0,0,0.0,0.0,1.0,0.0,1,0,0.5,0.0,1,0,0,0,0,0,0,1,1,2,26.0,7.0,99.0,,,0,,0,0,0,0,0.0,0.0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,207.0,1.0,0.0,0.0,Married,SSC,25,M,12000,40,1.0,0.0,0.762,,0,,0,0.0,0.0,0.0,0.0,8.75,0,0,others,others,692,P2
35,36,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,19.0,19.0,48.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,581.0,0.0,0.0,0.0,Married,GRADUATE,26,M,30000,62,1.0,0.0,0.526,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,693,P2
36,37,7,1,6,3,1,0.429,0.143,0.857,0.143,5,1,0.714,0.143,0,1,2,3,0,0,1,1,6,0,41.0,4.0,33.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,3.0,3.0,3.0,6.0,5.0,6.0,3.0,13.0,9.0,3.0,Married,GRADUATE,30,F,25000,62,0.857,0.6,0.81,0.854,1,0.966,1,0.833,1.0,0.833,1.0,12.6,0,0,PL,others,678,P2
37,38,11,8,3,0,0,0.0,0.0,0.273,0.727,1,0,0.091,0.0,0,0,0,0,6,0,0,6,5,5,73.0,11.0,341.0,,,0,,0,0,0,0,0.0,0.0,0,0,26,5,11,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1.0,1.0,1.0,Married,OTHERS,38,M,55000,231,0.273,0.0,1.0,,0,,0,0.0,0.0,0.0,0.0,,1,0,ConsumerLoan,ConsumerLoan,705,P1
38,39,1,1,0,0,0,0.0,0.0,0.0,1.0,0,1,0.0,1.0,0,1,0,0,0,0,0,1,0,0,45.0,45.0,277.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,5.0,5.0,Married,12TH,57,M,40000,130,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,ConsumerLoan,others,657,P4
39,40,2,2,0,0,1,0.0,0.5,0.0,1.0,0,1,0.0,0.5,0,1,0,0,0,0,1,1,1,0,32.0,27.0,92.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,0.0,0.0,0.0,Married,SSC,48,M,25000,300,0.0,0.0,0.0,,0,,1,0.0,0.0,0.0,0.0,,0,0,others,others,693,P2
40,41,1,1,0,0,1,0.0,1.0,0.0,1.0,0,1,0.0,1.0,1,1,0,0,0,0,0,1,0,0,19.0,19.0,,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Single,12TH,25,M,25000,54,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,672,P2
41,42,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,10.0,10.0,105.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,0.0,2.0,2.0,2.0,79.0,3.0,2.0,1.0,Married,GRADUATE,31,M,15000,125,1.0,0.0,0.0,,0,,0,1.0,0.0,1.0,0.0,0.933,0,0,PL,others,663,P3
42,43,1,0,1,1,0,1.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,0,0,1,0,1,0,0,5.0,5.0,83.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,Married,GRADUATE,25,F,18500,80,1.0,1.0,0.704,,0,,0,0.0,0.0,0.0,0.0,,0,1,others,others,673,P2
43,44,1,1,0,0,0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,49.0,49.0,875.0,35.0,31.0,4,60.0,60,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1481.0,0.0,0.0,0.0,Married,12TH,52,M,13000,244,0.0,0.0,0.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,662,P3
44,45,5,3,2,0,0,0.0,0.0,0.4,0.6,1,0,0.2,0.0,0,0,0,2,0,0,0,0,5,3,33.0,12.0,53.0,29.0,15.0,4,59.0,4,0,0,0,0.0,0.0,2,0,25,4,10,0,0,0,0,0,0,0,0,0,4,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,2.0,Married,POST-GRADUATE,31,M,45000,181,0.4,0.0,0.583,,0,,0,0.0,0.0,0.0,0.0,2.978,0,0,ConsumerLoan,ConsumerLoan,659,P3
45,46,12,7,5,7,4,0.583,0.333,0.417,0.583,10,5,0.833,0.417,3,2,1,2,0,0,7,2,10,0,48.0,2.0,80.0,21.0,21.0,1,9.0,9,0,0,0,0.0,0.0,0,0,6,5,6,0,0,0,0,0,0,0,0,0,9,23.0,1.0,1.0,1.0,13.0,8.0,13.0,49.0,18.0,9.0,5.0,Married,GRADUATE,25,M,20000,70,0.417,0.7,0.904,1.0,1,0.904,1,0.615,1.0,0.615,1.0,7.729,0,0,CC,others,651,P4
46,47,1,0,1,0,0,0.0,0.0,1.0,0.0,1,0,1.0,0.0,0,0,0,1,0,0,0,0,1,0,8.0,8.0,101.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,232.0,2.0,0.0,0.0,Married,12TH,51,M,12000,191,1.0,0.0,0.3,,0,,0,0.0,0.0,0.0,0.0,0.791,0,0,PL,others,679,P2
47,48,2,1,1,0,1,0.0,0.5,0.5,0.5,1,1,0.5,0.5,0,0,0,2,0,0,0,0,2,0,18.0,7.0,40.0,15.0,14.0,2,35.0,7,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,6.0,5.0,4.0,Married,UNDER GRADUATE,25,F,18000,105,0.5,0.0,0.677,,0,,0,0.0,0.0,0.0,0.0,0.562,0,0,ConsumerLoan,ConsumerLoan,655,P4
48,49,7,3,4,5,2,0.714,0.286,0.571,0.429,5,2,0.714,0.286,2,0,0,0,0,0,2,4,3,5,60.0,2.0,83.0,,,0,,0,0,0,0,0.0,0.0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,8.0,1.0,1.0,1.0,5.0,5.0,5.0,1.0,8.0,8.0,3.0,Married,UNDER GRADUATE,24,M,18000,25,0.571,1.0,1.491,,0,,1,1.0,1.0,1.0,1.0,0.001,0,0,ConsumerLoan,PL,664,P3
49,50,1,0,1,0,0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0,0,14.0,14.0,56.0,,,0,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,0.0,0.0,Single,UNDER GRADUATE,26,M,17000,50,1.0,0.0,0.55,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,691,P2
50,51,4,0,4,2,0,0.5,0.0,1.0,0.0,2,0,0.5,0.0,1,1,0,0,0,0,0,1,3,3,83.0,5.0,64.0,35.0,31.0,5,599.0,478,0,0,0,0.0,0.0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,478,5.0,0.0,0.0,0.0,1.0,1.0,1.0,9.0,3.0,3.0,2.0,Married,12TH,33,M,25000,182,1.0,1.0,0.149,,0,,0,1.0,0.0,1.0,0.0,0.494,0,0,ConsumerLoan,others,671,P2
51,52,2,1,1,1,0,0.5,0.0,0.5,0.5,1,0,0.5,0.0,1,1,0,0,0,0,0,2,0,1,59.0,3.0,1084.0,28.0,24.0,5,150.0,90,0,0,0,0.0,0.0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,90,3.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,3.0,3.0,2.0,Married,GRADUATE,34,M,30000,190,0.5,1.0,1.0,,0,,0,0.0,0.0,0.0,0.0,,0,0,others,others,660,P3
